parcel_address_reg,parcel_address_prv,parcel_address_mun,psgc.mun,Irrigated_parcelno,Rainfed Lowland_parcelno,Rainfed Upland_parcelno,Undefined_parcelno,All ecosystem_parcelno,Irrigated_farmerno,Rainfed Lowland_farmerno,Rainfed Upland_farmerno,Undefined_farmerno,All ecosystem_farmerno,Irrigated_area,Rainfed Lowland_area,Rainfed Upland_area,Undefined_area,All ecosystem_area
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,PH150708000,1,1,7,NA,9,1,1,7,NA,9,0.9095,3.4481,15.2276,NA,19.5852
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AL-BARKA,PH150709000,2,3,20,3,28,2,3,20,3,28,0.86240000000000006,0.994,15.5874,3.894,21.3378
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,CITY OF LAMITAN,PH150702000,55,20,14,1,90,47,20,14,1,82,73.0088,40.1052,26.75,2.5178,142.3818
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,LANTAWAN,PH150703000,4,NA,2,NA,6,4,NA,2,NA,6,7.94,NA,3.38,NA,11.32
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,PH150705000,1,1,13,NA,15,1,1,13,NA,15,1.9,6,23.2701,NA,31.1701
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,TIPO-TIPO,PH150706000,1,25,14,NA,40,1,25,14,NA,40,1,13.8892,19.7043,NA,34.5935
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,TUBURAN,PH150707000,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,UNGKAYA PUKAN,PH150711000,NA,4,9,NA,13,NA,4,9,NA,13,NA,2.3200000000000003,7.2094,NA,9.5294
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BACOLOD-KALAWI (BACOLOD GRANDE),PH153601000,NA,NA,11,NA,11,NA,NA,11,NA,11,NA,NA,14.940999999999999,NA,14.940999999999999
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BALABAGAN,PH153602000,NA,8,5,2,15,NA,8,5,2,15,NA,15.450000000000001,10.17,8,33.62
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BALINDONG (WATU),PH153603000,1,78,13,NA,92,1,74,13,NA,88,1.5,15.7883,7.1754999999999995,NA,24.4638
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BAYANG,PH153604000,NA,12,41,NA,53,NA,12,41,NA,53,NA,26.725,35.667,NA,62.392
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BINIDAYAN,PH153605000,24,41,112,18,195,24,41,112,18,195,23.768,34.8859,91.53,16.27,166.4539
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BUADIPOSO-BUNTONG,PH153633000,4,366,15,29,414,4,361,14,29,408,5.1,320.4079,10.422,27.1323,363.0622
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BUBONG,PH153606000,159,196,37,NA,392,158,193,37,NA,388,139.795,196.0313,35.8006,NA,371.6269
